,Name of pokemon,Pokemon Type,Total,HP,Attack,Sp_Attack,Sp_Defence,Speed
1014,Clobbopus,Fighting ,310,50,68,50,50,32
1015,Grapploct,Fighting ,480,80,118,70,80,42
1016,Sinistea,Ghost ,308,40,45,74,54,50
1017,Polteageist,Ghost ,508,60,65,134,114,70
1018,Hatenna,Psychic ,265,42,30,56,53,39
1019,Hattrem,Psychic ,370,57,40,86,73,49
1020,Hatterene,Psychic Fairy,510,57,90,136,103,29
1021,Impidimp,Dark Fairy,265,45,45,55,40,50
1022,Morgrem,Dark Fairy,370,65,60,75,55,70
1023,Grimmsnarl,Dark Fairy,510,95,120,95,75,60
1024,Obstagoon,Dark Normal,520,93,90,60,81,95
1025,Perrserker,Steel ,440,70,110,50,60,50
1026,Cursola,Ghost ,510,60,95,145,130,30
1027,Sirfetch'd,Fighting ,507,62,135,68,82,65
1028,Mr. Rime,Ice Psychic,520,80,85,110,100,70
1029,Runerigus,Ground Ghost,483,58,95,50,105,30
1030,Milcery,Fairy ,270,45,40,50,61,34
1031,Alcremie,Fairy ,495,65,60,110,121,64
1032,Falinks,Fighting ,470,65,100,70,60,75
1033,Pincurchin,Electric ,435,48,101,91,85,15
1034,Snom,Ice Bug,185,30,25,45,30,20
1035,Frosmoth,Ice Bug,475,70,65,125,90,65
1036,Stonjourner,Rock ,470,100,125,20,20,70
1037,Eiscue Ice Face,Ice ,470,75,80,65,90,50
1038,Eiscue Noice Face,Ice ,470,75,80,65,50,130
1039,Indeedee Male,Psychic Normal,475,60,65,105,95,95
1040,Indeedee Female,Psychic Normal,475,70,55,95,105,85
1041,Morpeko Full Belly Mode,Electric Dark,436,58,95,70,58,97
1042,Morpeko Hangry Mode,Electric Dark,436,58,95,70,58,97
1043,Cufant,Steel ,330,72,80,40,49,40
1044,Copperajah,Steel ,500,122,130,80,69,30
1045,Dracozolt,Electric Dragon,505,90,100,80,70,75
1046,Arctozolt,Electric Ice,505,90,100,90,80,55
1047,Dracovish,Water Dragon,505,90,90,70,80,75
1048,Arctovish,Water Ice,505,90,90,80,90,55
1049,Duraludon,Steel Dragon,535,70,95,120,50,85
1050,Dreepy,Dragon Ghost,270,28,60,40,30,82
1051,Drakloak,Dragon Ghost,410,68,80,60,50,102
1052,Dragapult,Dragon Ghost,600,88,120,100,75,142
1053,Zacian Hero of Many Battles,Fairy ,660,92,120,80,115,138
1054,Zacian Crowned Sword,Fairy Steel,700,92,150,80,115,148
1055,Zamazenta Hero of Many Battles,Fighting ,660,92,120,80,115,138
1056,Zamazenta Crowned Shield,Fighting Steel,700,92,120,80,140,128
1057,Eternatus,Poison Dragon,690,140,85,145,95,130
1058,Eternatus Eternamax,Poison Dragon,1125,255,115,125,250,130
1059,Kubfu,Fighting ,385,60,90,53,50,72
1060,Urshifu Single Strike Style,Fighting Dark,550,100,130,63,60,97
1061,Urshifu Rapid Strike Style,Fighting Water,550,100,130,63,60,97
1062,Zarude,Dark Grass,600,105,120,70,95,105
1063,Regieleki,Electric ,580,80,100,100,50,200
1064,Regidrago,Dragon ,580,200,100,100,50,80
1065,Glastrier,Ice ,580,100,145,65,110,30
1066,Spectrier,Ghost ,580,100,65,145,80,130
1067,Calyrex,Psychic Grass,500,100,80,80,80,80
1068,Calyrex Ice Rider,Psychic Ice,680,100,165,85,130,50
1069,Calyrex Shadow Rider,Psychic Ghost,680,100,85,165,100,150
1070,Wyrdeer,Normal Psychic,525,103,105,105,75,65
1071,Kleavor,Bug Rock,500,70,135,45,70,85
1072,Ursaluna,Ground Normal,550,130,140,45,80,50
1073,Ursaluna Bloodmoon,Ground Normal,555,113,70,135,65,52
1074,Basculegion Male,Water Ghost,530,120,112,80,75,78
1075,Basculegion Female,Water Ghost,530,120,92,100,75,78
1076,Sneasler,Fighting Poison,510,80,130,40,80,120
1077,Overqwil,Dark Poison,510,85,115,65,65,85
1078,Enamorus Incarnate Forme,Fairy Flying,580,74,115,135,80,106
1079,Enamorus Therian Forme,Fairy Flying,580,74,115,135,100,46
1080,Sprigatito,Grass ,310,40,61,45,45,65
1081,Floragato,Grass ,410,61,80,60,63,83
1082,Meowscarada,Grass Dark,530,76,110,81,70,123
1083,Fuecoco,Fire ,310,67,45,63,40,36
1084,Crocalor,Fire ,411,81,55,90,58,49
1085,Skeledirge,Fire Ghost,530,104,75,110,75,66
1086,Quaxly,Water ,310,55,65,50,45,50
1087,Quaxwell,Water ,410,70,85,65,60,65
1088,Quaquaval,Water Fighting,530,85,120,85,75,85
1089,Lechonk,Normal ,254,54,45,35,45,35
1090,Oinkologne Male,Normal ,489,110,100,59,80,65
1091,Oinkologne Female,Normal ,489,115,90,59,90,65
1092,Tarountula,Bug ,210,35,41,29,40,20
1093,Spidops,Bug ,404,60,79,52,86,35
1094,Nymble,Bug ,210,33,46,21,25,45
1095,Lokix,Bug Dark,450,71,102,52,55,92
1096,Pawmi,Electric ,240,45,50,40,25,60
1097,Pawmo,Electric Fighting,350,60,75,50,40,85
1098,Pawmot,Electric Fighting,490,70,115,70,60,105
1099,Tandemaus,Normal ,305,50,50,40,45,75
1100,Maushold Family of Four,Normal ,470,74,75,65,75,111
1101,Maushold Family of Three,Normal ,470,74,75,65,75,111
1102,Fidough,Fairy ,312,37,55,30,55,65
1103,Dachsbun,Fairy ,477,57,80,50,80,95
1104,Smoliv,Grass Normal,260,41,35,58,51,30
1105,Dolliv,Grass Normal,354,52,53,78,78,33
1106,Arboliva,Grass Normal,510,78,69,125,109,39
1107,Squawkabilly Green Plumage,Normal Flying,417,82,96,45,51,92
1108,Squawkabilly Blue Plumage,Normal Flying,417,82,96,45,51,92
1109,Squawkabilly Yellow Plumage,Normal Flying,417,82,96,45,51,92
1110,Squawkabilly White Plumage,Normal Flying,417,82,96,45,51,92
1111,Nacli,Rock ,280,55,55,35,35,25
1112,Naclstack,Rock ,355,60,60,35,65,35
1113,Garganacl,Rock ,500,100,100,45,90,35
1114,Charcadet,Fire ,255,40,50,50,40,35
1115,Armarouge,Fire Psychic,525,85,60,125,80,75
1116,Ceruledge,Fire Ghost,525,75,125,60,100,85
1117,Tadbulb,Electric ,272,61,31,59,35,45
1118,Bellibolt,Electric ,495,109,64,103,83,45
1119,Wattrel,Electric Flying,280,40,40,55,40,70
1120,Kilowattrel,Electric Flying,490,70,70,105,60,125
1121,Maschiff,Dark ,340,60,78,40,51,51
1122,Mabosstiff,Dark ,505,80,120,60,70,85
1123,Shroodle,Poison Normal,290,40,65,40,35,75
1124,Grafaiai,Poison Normal,485,63,95,80,72,110
1125,Bramblin,Grass Ghost,275,40,65,45,35,60
1126,Brambleghast,Grass Ghost,480,55,115,80,70,90
1127,Toedscool,Ground Grass,335,40,40,50,100,70
1128,Toedscruel,Ground Grass,515,80,70,80,120,100
1129,Klawf,Rock ,450,70,100,35,55,75
1130,Capsakid,Grass ,304,50,62,62,40,50
1131,Scovillain,Grass Fire,486,65,108,108,65,75
1132,Rellor,Bug ,270,41,50,31,58,30
1133,Rabsca,Bug Psychic,470,75,50,115,100,45
1134,Flittle,Psychic ,255,30,35,55,30,75
1135,Espathra,Psychic ,481,95,60,101,60,105
1136,Tinkatink,Fairy Steel,297,50,45,35,64,58
1137,Tinkatuff,Fairy Steel,380,65,55,45,82,78
1138,Tinkaton,Fairy Steel,506,85,75,70,105,94
1139,Wiglett,Water ,245,10,55,35,25,95
1140,Wugtrio,Water ,425,35,100,50,70,120
1141,Bombirdier,Flying Dark,485,70,103,60,85,82
1142,Finizen,Water ,315,70,45,45,40,75
1143,Palafin Zero Form,Water ,457,100,70,53,62,100
1144,Palafin Hero Form,Water ,650,100,160,106,87,100
1145,Varoom,Steel Poison,300,45,70,30,45,47
1146,Revavroom,Steel Poison,500,80,119,54,67,90
1147,Cyclizar,Dragon Normal,501,70,95,85,65,121
1148,Orthworm,Steel ,480,70,85,60,55,65
1149,Glimmet,Rock Poison,350,48,35,105,60,60
1150,Glimmora,Rock Poison,525,83,55,130,81,86
1151,Greavard,Ghost ,290,50,61,30,55,34
1152,Houndstone,Ghost ,488,72,101,50,97,68
1153,Flamigo,Flying Fighting,500,82,115,75,64,90
1154,Cetoddle,Ice ,334,108,68,30,40,43
1155,Cetitan,Ice ,521,170,113,45,55,73
1156,Veluza,Water Psychic,478,90,102,78,65,70
1157,Dondozo,Water ,530,150,100,65,65,35
1158,Tatsugiri Curly Form,Dragon Water,475,68,50,120,95,82
1159,Tatsugiri Droopy Form,Dragon Water,475,68,50,120,95,82
1160,Tatsugiri Stretchy Form,Dragon Water,475,68,50,120,95,82
1161,Annihilape,Fighting Ghost,535,110,115,50,90,90
1162,Clodsire,Poison Ground,430,130,75,45,100,20
1163,Farigiraf,Normal Psychic,520,120,90,110,70,60
1164,Dudunsparce Two-Segment Form,Normal ,520,125,100,85,75,55
1165,Dudunsparce Three-Segment Form,Normal ,520,125,100,85,75,55
1166,Kingambit,Dark Steel,550,100,135,60,85,50
1167,Great Tusk,Ground Fighting,570,115,131,53,53,87
1168,Scream Tail,Fairy Psychic,570,115,65,65,115,111
1169,Brute Bonnet,Grass Dark,570,111,127,79,99,55
1170,Flutter Mane,Ghost Fairy,570,55,55,135,135,135
1171,Slither Wing,Bug Fighting,570,85,135,85,105,81
1172,Sandy Shocks,Electric Ground,570,85,81,121,85,101
1173,Iron Treads,Ground Steel,570,90,112,72,70,106
1174,Iron Bundle,Ice Water,570,56,80,124,60,136
1175,Iron Hands,Fighting Electric,570,154,140,50,68,50
1176,Iron Jugulis,Dark Flying,570,94,80,122,80,108
1177,Iron Moth,Fire Poison,570,80,70,140,110,110
1178,Iron Thorns,Rock Electric,570,100,134,70,84,72
1179,Frigibax,Dragon Ice,320,65,75,35,45,55
1180,Arctibax,Dragon Ice,423,90,95,45,65,62
1181,Baxcalibur,Dragon Ice,600,115,145,75,86,87
1182,Gimmighoul Chest Form,Ghost ,300,45,30,75,70,10
1183,Gimmighoul Roaming Form,Ghost ,300,45,30,75,45,80
1184,Gholdengo,Steel Ghost,550,87,60,133,91,84
1185,Wo-Chien,Dark Grass,570,85,85,95,135,70
1186,Chien-Pao,Dark Ice,570,80,120,90,65,135
1187,Ting-Lu,Dark Ground,570,155,110,55,80,45
1188,Chi-Yu,Dark Fire,570,55,80,135,120,100
1189,Roaring Moon,Dragon Dark,590,105,139,55,101,119
1190,Iron Valiant,Fairy Fighting,590,74,130,120,60,116
1191,Koraidon,Fighting Dragon,670,100,135,85,100,135
1192,Miraidon,Electric Dragon,670,100,85,135,115,135
1193,Walking Wake,Water Dragon,590,99,83,125,83,109
1194,Iron Leaves,Grass Psychic,590,90,130,70,108,104
1195,Dipplin,Grass Dragon,485,80,80,95,80,40
1196,Poltchageist,Grass Ghost,308,40,45,74,54,50
1197,Sinistcha,Grass Ghost,508,71,60,121,80,70
1198,Okidogi,Poison Fighting,555,88,128,58,86,80
1199,Munkidori,Poison Psychic,555,88,75,130,90,106
1200,Fezandipiti,Poison Fairy,555,88,91,70,125,99
1201,Ogerpon Teal Mask,Grass ,550,80,120,60,96,110
1202,Ogerpon Wellspring Mask,Grass Water,550,80,120,60,96,110
1203,Ogerpon Hearthflame Mask,Grass Fire,550,80,120,60,96,110
1204,Ogerpon Cornerstone Mask,Grass Rock,550,80,120,60,96,110
1205,Archaludon,Steel Dragon,600,90,105,125,65,85
1206,Hydrapple,Grass Dragon,540,106,80,120,80,44
1207,Gouging Fire,Fire Dragon,590,105,115,65,93,91
1208,Raging Bolt,Electric Dragon,590,125,73,137,89,75
1209,Iron Boulder,Rock Psychic,590,90,120,68,108,124
1210,Iron Crown,Steel Psychic,590,90,72,122,108,98
1211,Terapagos Normal Form,Normal ,450,90,65,65,85,60
1212,Terapagos Terastal Form,Normal ,600,95,95,105,110,85
1213,Terapagos Stellar Form,Normal ,700,160,105,130,110,85
1214,Pecharunt,Poison Ghost,600,88,88,88,88,88
